Skill,Parent,Group,Type
AI Engineer,,AI engineer,Target
Foundational Knowledge,AI Engineer,AI engineer,Skill
Linear Algebra,Mathematics,AI engineer,Sub-sub-skill
Information Theory,Mathematics,AI engineer,Sub-sub-skill
Calculus,Mathematics,AI engineer,Sub-sub-skill
Optimization Techniques,Mathematics,AI engineer,Sub-sub-skill
Probability and Statistics,Mathematics,AI engineer,Sub-sub-skill
Numerical Analysis,Mathematics,AI engineer,Sub-sub-skill
Discrete Mathematics,Mathematics,AI engineer,Sub-sub-skill
Mathematics,Foundational Knowledge,AI engineer,Sub-skill
Machine Learning Fundamentals,AI Engineer,AI engineer,Skill
Python Fundamentals,Programming,AI engineer,Sub-sub-skill
Version Control (Git),Programming,AI engineer,Sub-sub-skill
Data Structures and Algorithms,Programming,AI engineer,Sub-sub-skill
Testing and Debugging,Programming,AI engineer,Sub-sub-skill
Object-Oriented Programming,Programming,AI engineer,Sub-sub-skill
Code Optimization,Programming,AI engineer,Sub-sub-skill
Software Engineering Principles,Programming,AI engineer,Sub-sub-skill
Programming,Machine Learning Fundamentals,AI engineer,Sub-skill
Linear Regression,Supervised Learning,AI engineer,Sub-sub-skill
Random Forests,Supervised Learning,AI engineer,Sub-sub-skill
Logistic Regression,Supervised Learning,AI engineer,Sub-sub-skill
"Gradient Boosting (XGBoost, LightGBM, CatBoost)",Supervised Learning,AI engineer,Sub-sub-skill
Support Vector Machines (SVM),Supervised Learning,AI engineer,Sub-sub-skill
Model Evaluation Metrics,Supervised Learning,AI engineer,Sub-sub-skill
Decision Trees,Supervised Learning,AI engineer,Sub-sub-skill
Supervised Learning,Machine Learning Fundamentals,AI engineer,Sub-skill
"Clustering (K-Means, Hierarchical Clustering, DBSCAN)",Unsupervised Learning,AI engineer,Sub-sub-skill
Association Rule Mining,Unsupervised Learning,AI engineer,Sub-sub-skill
"Dimensionality Reduction (PCA, t-SNE)",Unsupervised Learning,AI engineer,Sub-sub-skill
"Generative Models (GANs, VAEs)",Unsupervised Learning,AI engineer,Sub-sub-skill
Anomaly Detection,Unsupervised Learning,AI engineer,Sub-sub-skill
Self-Organizing Maps,Unsupervised Learning,AI engineer,Sub-sub-skill
Unsupervised Learning,Machine Learning Fundamentals,AI engineer,Sub-skill
Deep Learning Frameworks,AI Engineer,AI engineer,Skill
Neural Networks Basics,Deep Learning,AI engineer,Sub-sub-skill
Backpropagation,Deep Learning,AI engineer,Sub-sub-skill
Activation Functions,Deep Learning,AI engineer,Sub-sub-skill
Convolutional Neural Networks (CNNs),Deep Learning,AI engineer,Sub-sub-skill
Loss Functions,Deep Learning,AI engineer,Sub-sub-skill
"Recurrent Neural Networks (RNNs, LSTMs, GRUs)",Deep Learning,AI engineer,Sub-sub-skill
"Optimization Algorithms (SGD, Adam, RMSprop)",Deep Learning,AI engineer,Sub-sub-skill
Deep Learning,Deep Learning Frameworks,AI engineer,Sub-skill
TensorFlow Core,TensorFlow,AI engineer,Sub-sub-skill
TensorFlow Serving,TensorFlow,AI engineer,Sub-sub-skill
Keras API,TensorFlow,AI engineer,Sub-sub-skill
TensorFlow Lite,TensorFlow,AI engineer,Sub-sub-skill
TensorFlow Datasets,TensorFlow,AI engineer,Sub-sub-skill
TensorBoard,TensorFlow,AI engineer,Sub-sub-skill
TensorFlow Hub,TensorFlow,AI engineer,Sub-sub-skill
TensorFlow,Deep Learning Frameworks,AI engineer,Sub-skill
Natural Language Processing (NLP),AI Engineer,AI engineer,Skill
PyTorch Basics,PyTorch,AI engineer,Sub-sub-skill
Training Loops,PyTorch,AI engineer,Sub-sub-skill
Autograd,PyTorch,AI engineer,Sub-sub-skill
PyTorch Lightning,PyTorch,AI engineer,Sub-sub-skill
Neural Network Modules,PyTorch,AI engineer,Sub-sub-skill
TorchServe,PyTorch,AI engineer,Sub-sub-skill
Data Loading and Processing,PyTorch,AI engineer,Sub-sub-skill
PyTorch,Natural Language Processing (NLP),AI engineer,Sub-skill
Tokenization,Text Preprocessing,AI engineer,Sub-sub-skill
Text Normalization,Text Preprocessing,AI engineer,Sub-sub-skill
Stop Word Removal,Text Preprocessing,AI engineer,Sub-sub-skill
"Encoding Techniques (Bag of Words, TF-IDF, Word Embeddings)",Text Preprocessing,AI engineer,Sub-sub-skill
Stemming and Lemmatization,Text Preprocessing,AI engineer,Sub-sub-skill
Part-of-Speech Tagging,Text Preprocessing,AI engineer,Sub-sub-skill
Regular Expressions,Text Preprocessing,AI engineer,Sub-sub-skill
Text Preprocessing,Natural Language Processing (NLP),AI engineer,Sub-skill
Sentiment Analysis,Core NLP Tasks,AI engineer,Sub-sub-skill
Question Answering,Core NLP Tasks,AI engineer,Sub-sub-skill
Text Classification,Core NLP Tasks,AI engineer,Sub-sub-skill
Text Summarization,Core NLP Tasks,AI engineer,Sub-sub-skill
Named Entity Recognition (NER),Core NLP Tasks,AI engineer,Sub-sub-skill
Topic Modeling,Core NLP Tasks,AI engineer,Sub-sub-skill
Machine Translation,Core NLP Tasks,AI engineer,Sub-sub-skill
Core NLP Tasks,Natural Language Processing (NLP),AI engineer,Sub-skill
Computer Vision,AI Engineer,AI engineer,Skill
"Transformer Networks (BERT, GPT, RoBERTa)",Advanced NLP Techniques,AI engineer,Sub-sub-skill
Text Generation,Advanced NLP Techniques,AI engineer,Sub-sub-skill
Attention Mechanisms,Advanced NLP Techniques,AI engineer,Sub-sub-skill
Dialogue Systems,Advanced NLP Techniques,AI engineer,Sub-sub-skill
Sequence-to-Sequence Models,Advanced NLP Techniques,AI engineer,Sub-sub-skill
Knowledge Graphs,Advanced NLP Techniques,AI engineer,Sub-sub-skill
Language Modeling,Advanced NLP Techniques,AI engineer,Sub-sub-skill
Advanced NLP Techniques,Computer Vision,AI engineer,Sub-skill
Image Filtering,Image Processing,AI engineer,Sub-sub-skill
Image Enhancement,Image Processing,AI engineer,Sub-sub-skill
Edge Detection,Image Processing,AI engineer,Sub-sub-skill
Color Spaces,Image Processing,AI engineer,Sub-sub-skill
"Feature Extraction (SIFT, HOG, SURF)",Image Processing,AI engineer,Sub-sub-skill
Geometric Transformations,Image Processing,AI engineer,Sub-sub-skill
Image Segmentation,Image Processing,AI engineer,Sub-sub-skill
Image Processing,Computer Vision,AI engineer,Sub-skill
Image Classification,Core Computer Vision Tasks,AI engineer,Sub-sub-skill
Image Captioning,Core Computer Vision Tasks,AI engineer,Sub-sub-skill
"Object Detection (YOLO, SSD, Faster R-CNN)",Core Computer Vision Tasks,AI engineer,Sub-sub-skill
Visual Question Answering,Core Computer Vision Tasks,AI engineer,Sub-sub-skill
"Image Segmentation (Semantic, Instance, Panoptic)",Core Computer Vision Tasks,AI engineer,Sub-sub-skill
Face Recognition,Core Computer Vision Tasks,AI engineer,Sub-sub-skill
Image Generation,Core Computer Vision Tasks,AI engineer,Sub-sub-skill
Core Computer Vision Tasks,Computer Vision,AI engineer,Sub-skill
Reinforcement Learning,AI Engineer,AI engineer,Skill
Convolutional Neural Networks (CNNs) Architectures,Advanced Computer Vision Techniques,AI engineer,Sub-sub-skill
Video Analysis,Advanced Computer Vision Techniques,AI engineer,Sub-sub-skill
Transfer Learning,Advanced Computer Vision Techniques,AI engineer,Sub-sub-skill
Action Recognition,Advanced Computer Vision Techniques,AI engineer,Sub-sub-skill
Generative Adversarial Networks (GANs),Advanced Computer Vision Techniques,AI engineer,Sub-sub-skill
Self-Supervised Learning,Advanced Computer Vision Techniques,AI engineer,Sub-sub-skill
3D Vision,Advanced Computer Vision Techniques,AI engineer,Sub-sub-skill
Advanced Computer Vision Techniques,Reinforcement Learning,AI engineer,Sub-skill
Markov Decision Processes (MDPs),Fundamentals of RL,AI engineer,Sub-sub-skill
Dynamic Programming,Fundamentals of RL,AI engineer,Sub-sub-skill
Bellman Equations,Fundamentals of RL,AI engineer,Sub-sub-skill
Monte Carlo Methods,Fundamentals of RL,AI engineer,Sub-sub-skill
Exploration vs. Exploitation,Fundamentals of RL,AI engineer,Sub-sub-skill
"Temporal Difference Learning (SARSA, Q-learning)",Fundamentals of RL,AI engineer,Sub-sub-skill
Policy and Value Iteration,Fundamentals of RL,AI engineer,Sub-sub-skill
Fundamentals of RL,Reinforcement Learning,AI engineer,Sub-skill
Deep Q-Networks (DQN),Deep Reinforcement Learning,AI engineer,Sub-sub-skill
Exploration Strategies,Deep Reinforcement Learning,AI engineer,Sub-sub-skill
"Policy Gradient Methods (REINFORCE, A2C, A3C)",Deep Reinforcement Learning,AI engineer,Sub-sub-skill
Reward Shaping,Deep Reinforcement Learning,AI engineer,Sub-sub-skill
"Actor-Critic Methods (DDPG, TD3, SAC)",Deep Reinforcement Learning,AI engineer,Sub-sub-skill
Multi-Agent Reinforcement Learning,Deep Reinforcement Learning,AI engineer,Sub-sub-skill
Deep Reinforcement Learning,Reinforcement Learning,AI engineer,Sub-skill
Data Engineering,AI Engineer,AI engineer,Skill
Inverse Reinforcement Learning,Advanced RL Topics,AI engineer,Sub-sub-skill
Transfer Reinforcement Learning,Advanced RL Topics,AI engineer,Sub-sub-skill
Imitation Learning,Advanced RL Topics,AI engineer,Sub-sub-skill
Offline Reinforcement Learning,Advanced RL Topics,AI engineer,Sub-sub-skill
Hierarchical Reinforcement Learning,Advanced RL Topics,AI engineer,Sub-sub-skill
Safe Reinforcement Learning,Advanced RL Topics,AI engineer,Sub-sub-skill
Meta-Reinforcement Learning,Advanced RL Topics,AI engineer,Sub-sub-skill
Advanced RL Topics,Data Engineering,AI engineer,Sub-skill
Web Scraping,Data Collection,AI engineer,Sub-sub-skill
Data Ingestion Tools,Data Collection,AI engineer,Sub-sub-skill
APIs,Data Collection,AI engineer,Sub-sub-skill
Data Warehousing,Data Collection,AI engineer,Sub-sub-skill
"Databases (SQL, NoSQL)",Data Collection,AI engineer,Sub-sub-skill
ETL Processes,Data Collection,AI engineer,Sub-sub-skill
"Data Streaming (Kafka, Spark Streaming)",Data Collection,AI engineer,Sub-sub-skill
Data Collection,Data Engineering,AI engineer,Sub-skill
Data Cleaning,Data Processing,AI engineer,Sub-sub-skill
Data Storage,Data Processing,AI engineer,Sub-sub-skill
Data Transformation,Data Processing,AI engineer,Sub-sub-skill
Data Governance,Data Processing,AI engineer,Sub-sub-skill
Data Integration,Data Processing,AI engineer,Sub-sub-skill
Data Security,Data Processing,AI engineer,Sub-sub-skill
Data Validation,Data Processing,AI engineer,Sub-sub-skill
Data Processing,Data Engineering,AI engineer,Sub-skill
Model Deployment,AI Engineer,AI engineer,Skill
Hadoop,Big Data Technologies,AI engineer,Sub-sub-skill
"Cloud Data Platforms (AWS, Azure, GCP)",Big Data Technologies,AI engineer,Sub-sub-skill
Spark,Big Data Technologies,AI engineer,Sub-sub-skill
Distributed Computing,Big Data Technologies,AI engineer,Sub-sub-skill
Hive,Big Data Technologies,AI engineer,Sub-sub-skill
