Skill,Parent,Group,Type
Backend Development,,Backend,Target
Fundamentals,Backend Development,Backend,Skill
Data Structures and Algorithms,Computer Science Basics,Backend,Sub-sub-skill
Database Management Systems,Computer Science Basics,Backend,Sub-sub-skill
Time Complexity and Big O Notation,Computer Science Basics,Backend,Sub-sub-skill
Software Engineering Principles,Computer Science Basics,Backend,Sub-sub-skill
Operating Systems Concepts,Computer Science Basics,Backend,Sub-sub-skill
Version Control Systems (Git),Computer Science Basics,Backend,Sub-sub-skill
Networking Basics,Computer Science Basics,Backend,Sub-sub-skill
Computer Science Basics,Fundamentals,Backend,Sub-skill
Backend Languages,Backend Development,Backend,Skill
"Variables, Data Types, and Operators",Programming Fundamentals,Backend,Sub-sub-skill
Error Handling and Debugging,Programming Fundamentals,Backend,Sub-sub-skill
"Control Flow (Loops, Conditionals)",Programming Fundamentals,Backend,Sub-sub-skill
Input/Output Operations,Programming Fundamentals,Backend,Sub-sub-skill
Functions and Modularity,Programming Fundamentals,Backend,Sub-sub-skill
Testing Fundamentals,Programming Fundamentals,Backend,Sub-sub-skill
Object-Oriented Programming (OOP) Principles,Programming Fundamentals,Backend,Sub-sub-skill
Programming Fundamentals,Backend Languages,Backend,Sub-skill
Syntax and Semantics,"Language 1 (e.g., Python)",Backend,Sub-sub-skill
"Web Frameworks (e.g., Django, Flask)","Language 1 (e.g., Python)",Backend,Sub-sub-skill
Data Structures and Collections,"Language 1 (e.g., Python)",Backend,Sub-sub-skill
Asynchronous Programming,"Language 1 (e.g., Python)",Backend,Sub-sub-skill
Modules and Packages,"Language 1 (e.g., Python)",Backend,Sub-sub-skill
Testing and Debugging,"Language 1 (e.g., Python)",Backend,Sub-sub-skill
Object-Oriented Programming,"Language 1 (e.g., Python)",Backend,Sub-sub-skill
"Language 1 (e.g., Python)",Backend Languages,Backend,Sub-skill
Syntax and Semantics,"Language 2 (e.g., Java)",Backend,Sub-sub-skill
"Web Frameworks (e.g., Spring, Jakarta EE)","Language 2 (e.g., Java)",Backend,Sub-sub-skill
Object-Oriented Programming,"Language 2 (e.g., Java)",Backend,Sub-sub-skill
Design Patterns,"Language 2 (e.g., Java)",Backend,Sub-sub-skill
Collections Framework,"Language 2 (e.g., Java)",Backend,Sub-sub-skill
JVM Internals,"Language 2 (e.g., Java)",Backend,Sub-sub-skill
Multithreading and Concurrency,"Language 2 (e.g., Java)",Backend,Sub-sub-skill
"Language 2 (e.g., Java)",Backend Languages,Backend,Sub-skill
Databases,Backend Development,Backend,Skill
JavaScript Fundamentals,"Language 3 (e.g., Node.js)",Backend,Sub-sub-skill
"Web Frameworks (e.g., Express.js, NestJS)","Language 3 (e.g., Node.js)",Backend,Sub-sub-skill
"Asynchronous Programming (Promises, Async/Await)","Language 3 (e.g., Node.js)",Backend,Sub-sub-skill
RESTful API Design,"Language 3 (e.g., Node.js)",Backend,Sub-sub-skill
Node.js Core Modules,"Language 3 (e.g., Node.js)",Backend,Sub-sub-skill
Real-time Communication (WebSockets),"Language 3 (e.g., Node.js)",Backend,Sub-sub-skill
"Package Management (npm, yarn)","Language 3 (e.g., Node.js)",Backend,Sub-sub-skill
"Language 3 (e.g., Node.js)",Databases,Backend,Sub-skill
Database Design and Normalization,Relational Databases (SQL),Backend,Sub-sub-skill
Database Security,Relational Databases (SQL),Backend,Sub-sub-skill
SQL Syntax (CRUD Operations),Relational Databases (SQL),Backend,Sub-sub-skill
Stored Procedures and Functions,Relational Databases (SQL),Backend,Sub-sub-skill
Transactions and ACID Properties,Relational Databases (SQL),Backend,Sub-sub-skill
Database Administration,Relational Databases (SQL),Backend,Sub-sub-skill
Indexing and Query Optimization,Relational Databases (SQL),Backend,Sub-sub-skill
Relational Databases (SQL),Databases,Backend,Sub-skill
Web Frameworks,Backend Development,Backend,Skill
"Key-Value Stores (e.g., Redis, Memcached)",NoSQL Databases,Backend,Sub-sub-skill
Data Modeling for NoSQL,NoSQL Databases,Backend,Sub-sub-skill
"Document Databases (e.g., MongoDB, Couchbase)",NoSQL Databases,Backend,Sub-sub-skill
Scalability and Performance,NoSQL Databases,Backend,Sub-sub-skill
