Skill,Parent,Group,Type
Frontend Development,,Frontend,Target
Fundamentals,Frontend Development,Frontend,Skill
HTML Structure,HTML,Frontend,Sub-sub-skill
Accessibility (ARIA),HTML,Frontend,Sub-sub-skill
Semantic HTML,HTML,Frontend,Sub-sub-skill
HTML Best Practices,HTML,Frontend,Sub-sub-skill
HTML Forms,HTML,Frontend,Sub-sub-skill
HTML SEO,HTML,Frontend,Sub-sub-skill
HTML5 APIs,HTML,Frontend,Sub-sub-skill
HTML,Fundamentals,Frontend,Sub-skill
CSS Syntax and Selectors,CSS,Frontend,Sub-sub-skill
CSS Transitions and Animations,CSS,Frontend,Sub-sub-skill
Box Model,CSS,Frontend,Sub-sub-skill
Responsive Design (Media Queries),CSS,Frontend,Sub-sub-skill
"CSS Layout (Flexbox, Grid)",CSS,Frontend,Sub-sub-skill
"CSS Preprocessors (Sass, Less)",CSS,Frontend,Sub-sub-skill
CSS Positioning,CSS,Frontend,Sub-sub-skill
CSS,Fundamentals,Frontend,Sub-skill
Version Control,Frontend Development,Frontend,Skill
"JavaScript Basics (Variables, Data Types, Operators)",JavaScript,Frontend,Sub-sub-skill
"JavaScript Testing (Unit, Integration)",JavaScript,Frontend,Sub-sub-skill
DOM Manipulation,JavaScript,Frontend,Sub-sub-skill
JavaScript Debugging,JavaScript,Frontend,Sub-sub-skill
"Asynchronous JavaScript (Promises, Async/Await)",JavaScript,Frontend,Sub-sub-skill
JavaScript Design Patterns,JavaScript,Frontend,Sub-sub-skill
ES6+ Features,JavaScript,Frontend,Sub-sub-skill
JavaScript,Version Control,Frontend,Sub-skill
Package Managers,Frontend Development,Frontend,Skill
"Git Basics (Commit, Push, Pull)",Git,Frontend,Sub-sub-skill
"Remote Repositories (GitHub, GitLab, Bitbucket)",Git,Frontend,Sub-sub-skill
Branching and Merging,Git,Frontend,Sub-sub-skill
Git Hooks,Git,Frontend,Sub-sub-skill
Resolving Conflicts,Git,Frontend,Sub-sub-skill
Git Best Practices,Git,Frontend,Sub-sub-skill
"Git Workflows (Gitflow, GitHub Flow)",Git,Frontend,Sub-sub-skill
Git,Package Managers,Frontend,Sub-skill
Build Tools,Frontend Development,Frontend,Skill
Package Installation and Management,npm/Yarn/pnpm,Frontend,Sub-sub-skill
Dependency Management,npm/Yarn/pnpm,Frontend,Sub-sub-skill
Package Versioning,npm/Yarn/pnpm,Frontend,Sub-sub-skill
Security Vulnerabilities,npm/Yarn/pnpm,Frontend,Sub-sub-skill
Package Publishing,npm/Yarn/pnpm,Frontend,Sub-sub-skill
Package Configuration,npm/Yarn/pnpm,Frontend,Sub-sub-skill
Package Scripts,npm/Yarn/pnpm,Frontend,Sub-sub-skill
npm/Yarn/pnpm,Build Tools,Frontend,Sub-skill
Frameworks,Frontend Development,Frontend,Skill
Module Bundling,Webpack/Parcel/Rollup,Frontend,Sub-sub-skill
Development Servers,Webpack/Parcel/Rollup,Frontend,Sub-sub-skill
Code Transpilation (Babel),Webpack/Parcel/Rollup,Frontend,Sub-sub-skill
Plugin Ecosystem,Webpack/Parcel/Rollup,Frontend,Sub-sub-skill
Code Minification and Optimization,Webpack/Parcel/Rollup,Frontend,Sub-sub-skill
Configuration,Webpack/Parcel/Rollup,Frontend,Sub-sub-skill
Asset Management,Webpack/Parcel/Rollup,Frontend,Sub-sub-skill
Webpack/Parcel/Rollup,Frameworks,Frontend,Sub-skill
React Components and JSX,React,Frontend,Sub-sub-skill
React Forms,React,Frontend,Sub-sub-skill
"React State Management (useState, useReducer, Context API)",React,Frontend,Sub-sub-skill
"React Testing (Jest, Enzyme, React Testing Library)",React,Frontend,Sub-sub-skill
React Hooks,React,Frontend,Sub-sub-skill
React Performance Optimization,React,Frontend,Sub-sub-skill
React Router,React,Frontend,Sub-sub-skill
React,Frameworks,Frontend,Sub-skill
Angular Components and Templates,Angular,Frontend,Sub-sub-skill
"Angular Forms (Template-driven, Reactive)",Angular,Frontend,Sub-sub-skill
Angular Modules,Angular,Frontend,Sub-sub-skill
RxJS Observables,Angular,Frontend,Sub-sub-skill
Angular Services and Dependency Injection,Angular,Frontend,Sub-sub-skill
"Angular Testing (Jasmine, Karma)",Angular,Frontend,Sub-sub-skill
Angular Routing,Angular,Frontend,Sub-sub-skill
Angular,Frameworks,Frontend,Sub-skill
State Management,Frontend Development,Frontend,Skill
Vue Components and Templates,Vue.js,Frontend,Sub-sub-skill
Vuex State Management,Vue.js,Frontend,Sub-sub-skill
Vue Directives,Vue.js,Frontend,Sub-sub-skill
Vue CLI,Vue.js,Frontend,Sub-sub-skill
Vue Computed Properties and Watchers,Vue.js,Frontend,Sub-sub-skill
"Vue Testing (Jest, Vue Test Utils)",Vue.js,Frontend,Sub-sub-skill
Vue Router,Vue.js,Frontend,Sub-sub-skill
Vue.js,State Management,Frontend,Sub-skill
"Redux Principles (Store, Actions, Reducers)",Redux,Frontend,Sub-sub-skill
Redux DevTools,Redux,Frontend,Sub-sub-skill
"Redux Middleware (Thunk, Saga)",Redux,Frontend,Sub-sub-skill
Redux Best Practices,Redux,Frontend,Sub-sub-skill
Redux Toolkit,Redux,Frontend,Sub-sub-skill
"Alternatives to Redux (MobX, Zustand)",Redux,Frontend,Sub-sub-skill
Connecting Redux to React,Redux,Frontend,Sub-sub-skill
Redux,State Management,Frontend,Sub-skill
Testing,Frontend Development,Frontend,Skill
Creating and Consuming Contexts,Context API,Frontend,Sub-sub-skill
